"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 13:49:04 GMT 2024","Sun Aug 25 13:49:06 GMT 2024","2040","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm","fillingContactForm","Contact Dummy Test One"
"passed","Sun Aug 25 13:49:06 GMT 2024","Sun Aug 25 13:49:07 GMT 2024","248","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest2","dummyTest2","Dummy Test Two"
"passed","Sun Aug 25 13:49:07 GMT 2024","Sun Aug 25 13:49:08 GMT 2024","1292","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm4","fillingContactForm4","Contact Dummy Test Four"
"passed","Sun Aug 25 13:49:04 GMT 2024","Sun Aug 25 13:49:06 GMT 2024","2003","regression-test","regressionTests","com.wakatuts.LoginTest","com.wakatuts.LoginTest","loginTest1","loginTest1","Login Test 1"
"passed","Sun Aug 25 13:49:10 GMT 2024","Sun Aug 25 13:49:14 GMT 2024","4066","regression-test","regressionTests","com.wakatuts.OrderTest","com.wakatuts.OrderTest","successfulOrder","successfulOrder",""
"passed","Sun Aug 25 13:49:04 GMT 2024","Sun Aug 25 13:49:06 GMT 2024","2016","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm2","fillingContactForm2","Contact Dummy Test Two"
"passed","Sun Aug 25 13:49:04 GMT 2024","Sun Aug 25 13:49:06 GMT 2024","2045","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm3","fillingContactForm3","Contact Dummy Test Three"
"passed","Sun Aug 25 13:49:06 GMT 2024","Sun Aug 25 13:49:07 GMT 2024","649","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest","dummyTest","Dummy Test One"
