"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 13:59:20 GMT 2024","Sun Aug 25 13:59:22 GMT 2024","2079","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm","fillingContactForm","Contact Dummy Test One"
"passed","Sun Aug 25 13:59:23 GMT 2024","Sun Aug 25 13:59:23 GMT 2024","550","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest","dummyTest","Dummy Test One"
"passed","Sun Aug 25 13:59:23 GMT 2024","Sun Aug 25 13:59:24 GMT 2024","1327","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm4","fillingContactForm4","Contact Dummy Test Four"
"passed","Sun Aug 25 13:59:20 GMT 2024","Sun Aug 25 13:59:22 GMT 2024","2299","regression-test","regressionTests","com.wakatuts.LoginTest","com.wakatuts.LoginTest","loginTest1","loginTest1","Login Test 1"
"passed","Sun Aug 25 13:59:23 GMT 2024","Sun Aug 25 13:59:23 GMT 2024","242","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest2","dummyTest2","Dummy Test Two"
"passed","Sun Aug 25 13:59:20 GMT 2024","Sun Aug 25 13:59:22 GMT 2024","2153","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm3","fillingContactForm3","Contact Dummy Test Three"
"passed","Sun Aug 25 13:59:20 GMT 2024","Sun Aug 25 13:59:22 GMT 2024","2079","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm2","fillingContactForm2","Contact Dummy Test Two"
"passed","Sun Aug 25 13:59:26 GMT 2024","Sun Aug 25 13:59:30 GMT 2024","4064","regression-test","regressionTests","com.wakatuts.OrderTest","com.wakatuts.OrderTest","successfulOrder","successfulOrder",""
