"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 13:55:50 GMT 2024","Sun Aug 25 13:55:50 GMT 2024","293","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest2","dummyTest2","Dummy Test Two"
"passed","Sun Aug 25 13:55:47 GMT 2024","Sun Aug 25 13:55:49 GMT 2024","1701","regression-test","regressionTests","com.wakatuts.LoginTest","com.wakatuts.LoginTest","loginTest1","loginTest1","Login Test 1"
"passed","Sun Aug 25 13:55:50 GMT 2024","Sun Aug 25 13:55:50 GMT 2024","487","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest","dummyTest","Dummy Test One"
"passed","Sun Aug 25 13:55:47 GMT 2024","Sun Aug 25 13:55:49 GMT 2024","2136","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm2","fillingContactForm2","Contact Dummy Test Two"
"passed","Sun Aug 25 13:55:47 GMT 2024","Sun Aug 25 13:55:49 GMT 2024","2157","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm","fillingContactForm","Contact Dummy Test One"
"passed","Sun Aug 25 13:55:53 GMT 2024","Sun Aug 25 13:55:57 GMT 2024","4542","regression-test","regressionTests","com.wakatuts.OrderTest","com.wakatuts.OrderTest","successfulOrder","successfulOrder",""
"passed","Sun Aug 25 13:55:47 GMT 2024","Sun Aug 25 13:55:49 GMT 2024","2204","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm3","fillingContactForm3","Contact Dummy Test Three"
"passed","Sun Aug 25 13:55:49 GMT 2024","Sun Aug 25 13:55:51 GMT 2024","1587","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm4","fillingContactForm4","Contact Dummy Test Four"
