"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 13:38:06 GMT 2024","Sun Aug 25 13:38:10 GMT 2024","3878","regression-test","regressionTests","com.wakatuts.OrderTest","com.wakatuts.OrderTest","successfulOrder","successfulOrder",""
"passed","Sun Aug 25 13:38:00 GMT 2024","Sun Aug 25 13:38:03 GMT 2024","2319","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm","fillingContactForm","Contact Dummy Test One"
"passed","Sun Aug 25 13:38:03 GMT 2024","Sun Aug 25 13:38:03 GMT 2024","199","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest2","dummyTest2","Dummy Test Two"
"passed","Sun Aug 25 13:38:02 GMT 2024","Sun Aug 25 13:38:04 GMT 2024","1472","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm4","fillingContactForm4","Contact Dummy Test Four"
"passed","Sun Aug 25 13:38:00 GMT 2024","Sun Aug 25 13:38:03 GMT 2024","2280","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm3","fillingContactForm3","Contact Dummy Test Three"
"passed","Sun Aug 25 13:38:00 GMT 2024","Sun Aug 25 13:38:02 GMT 2024","2235","regression-test","regressionTests","com.wakatuts.ContactTest","com.wakatuts.ContactTest","fillingContactForm2","fillingContactForm2","Contact Dummy Test Two"
"passed","Sun Aug 25 13:38:00 GMT 2024","Sun Aug 25 13:38:02 GMT 2024","2060","regression-test","regressionTests","com.wakatuts.LoginTest","com.wakatuts.LoginTest","loginTest1","loginTest1","Login Test 1"
"passed","Sun Aug 25 13:38:03 GMT 2024","Sun Aug 25 13:38:04 GMT 2024","451","regression-test","regressionTests","com.wakatuts.DummyTest","com.wakatuts.DummyTest","dummyTest","dummyTest","Dummy Test One"
